anime_id,anime,rating
32281,Kimi no Na wa.,9.37
5114,Fullmetal Alchemist: Brotherhood,9.26
28977,Gintama°„,9.25
9253,Steins;Gate,9.17
9969,Gintama&#039;,9.16
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,9.15
11061,Hunter x Hunter (2011),9.13
820,Ginga Eiyuu Densetsu,9.11
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,9.1
15417,Gintama&#039;: Enchousen,9.11
4181,Clannad: After Story,9.06
28851,Koe no Katachi,9.05
918,Gintama,9.04
2904,Code Geass: Hangyaku no Lelouch R2,8.98
28891,Haikyuu!! Second Season,8.93
199,Sen to Chihiro no Kamikakushi,8.93
23273,Shigatsu wa Kimi no Uso,8.92
24701,Mushishi Zoku Shou 2nd Season,8.88
12355,Ookami Kodomo no Ame to Yuki,8.84
1575,Code Geass: Hangyaku no Lelouch,8.83
263,Hajime no Ippo,8.83
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.83
1,Cowboy Bebop,8.82
30276,One Punch Man,8.82
164,Mononoke Hime,8.81
7311,Suzumiya Haruhi no Shoushitsu,8.81
17074,Monogatari Series: Second Season,8.8
21939,Mushishi Zoku Shou,8.8
457,Mushishi,8.78
2001,Tengen Toppa Gurren Lagann,8.78
245,Great Teacher Onizuka,8.77
32983,Natsume Yuujinchou Go,8.76
5258,Hajime no Ippo: New Challenger,8.75
28957,Mushishi Zoku Shou: Suzu no Shizuku,8.75
11665,Natsume Yuujinchou Shi,8.75
431,Howl no Ugoku Shiro,8.74
11741,Fate/Zero 2nd Season,8.73
31757,Kizumonogatari II: Nekketsu-hen,8.73
19,Monster,8.72
12365,Bakuman. 3rd Season,8.71
1535,Death Note,8.71
32366,Gintama°„: Aizome Kaori-hen,8.69
30654,Ansatsu Kyoushitsu (TV) 2nd Season,8.68
20583,Haikyuu!!,8.68
19647,Hajime no Ippo: Rising,8.68
4282,Kara no Kyoukai 5: Mujun Rasen,8.68
10379,Natsume Yuujinchou San,8.67
22135,Ping Pong The Animation,8.67
21329,Mushishi Special: Hihamukage,8.66
31043,Boku dake ga Inai Machi,8.65
7785,Yojouhan Shinwa Taikei,8.65
3297,Aria The Origination,8.64
30709,Kamisama Hajimemashita: Kako-hen,8.64
6114,Rainbow: Nisha Rokubou no Shichinin,8.64
31240,Re:Zero kara Hajimeru Isekai Seikatsu,8.64
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,8.64
5300,Zoku Natsume Yuujinchou,8.64
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.62
24415,Kuroko no Basket 3rd Season,8.62
11577,Steins;Gate Movie: Fuka Ryouiki no D®¶j®§ vu,8.61
10408,Hotarubi no Mori e,8.61
28171,Shokugeki no Souma,8.61
32995,Yuri!!! on Ice,8.61
21899,Gintama: Yorinuki Gintama-san on Theater 2D,8.6
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,8.6
7472,Gintama Movie: Shinyaku Benizakura-hen,8.59
777,Hellsing Ultimate,8.59
22535,Kiseijuu: Sei no Kakuritsu,8.59
28735,Shouwa Genroku Rakugo Shinjuu,8.59
12431,Uchuu Kyoudai,8.59
28805,Bakemono no Ko,8.58
578,Hotaru no Haka,8.58
16894,Kuroko no Basket 2nd Season,8.58
5028,Major S5,8.58
21,One Piece,8.58
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,8.57
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,8.57
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),8.57
17389,Kingdom 2nd Season,8.57
170,Slam Dunk,8.56
10162,Usagi Drop,8.56
